state-label,state-value,city-label,city-value,station-label,station-value
Andaman and Nicobar,Andaman and Nicobar,Sri Vijaya Puram,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",site_6010
Andhra Pradesh,Andhra Pradesh,Amaravati,Amaravati,"Secretariat, Amaravati - APPCB",site_1406
Andhra Pradesh,Andhra Pradesh,Anantapur,Anantapur,"Gulzarpet, Anantapur - APPCB",site_5632
Andhra Pradesh,Andhra Pradesh,Chittoor,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",site_5665
Andhra Pradesh,Andhra Pradesh,Kadapa,Kadapa,"Yerramukkapalli, Kadapa - APPCB",site_5693
Andhra Pradesh,Andhra Pradesh,Rajamahendravaram,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",site_1399
Andhra Pradesh,Andhra Pradesh,Tirumala,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",site_258
Andhra Pradesh,Andhra Pradesh,Tirupati,Tirupati,"Vaikuntapuram, Tirupati - APPCB",site_5666
Andhra Pradesh,Andhra Pradesh,Vijayawada,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",site_5849
Andhra Pradesh,Andhra Pradesh,Vijayawada,Vijayawada,"Kanuru, Vijayawada - APPCB",site_5685
Andhra Pradesh,Andhra Pradesh,Vijayawada,Vijayawada,"PWD Grounds, Vijayawada - APPCB",site_257
Andhra Pradesh,Andhra Pradesh,Vijayawada,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",site_5981
Andhra Pradesh,Andhra Pradesh,Vijayawada,Vijayawada,"HB Colony, Vijayawada - APPCB",site_5848
Andhra Pradesh,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",site_260
Arunachal Pradesh,Arunachal Pradesh,Naharlagun,Naharlagun,"Naharlagun, Naharlagun - APSPCB",site_5446
Assam,Assam,Byrnihat,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",site_5669
Assam,Assam,Guwahati,Guwahati,"IITG, Guwahati - PCBA",site_5651
Assam,Assam,Guwahati,Guwahati,"LGBI Airport, Guwahati - PCBA",site_5683
Assam,Assam,Guwahati,Guwahati,"Pan Bazaar, Guwahati - PCBA",site_5417
Assam,Assam,Guwahati,Guwahati,"Railway Colony, Guwahati - PCBA",site_5073
Assam,Assam,Nagaon,Nagaon,"Christianpatty, Nagaon - PCBA",site_5706
Assam,Assam,Nalbari,Nalbari,"Bata Chowk, Nalbari - PCBA",site_5668
Assam,Assam,Silchar,Silchar,"Tarapur, Silchar - PCBA",site_5684
Assam,Assam,Sivasagar,Sivasagar,"Girls College, Sivasagar - PCBA",site_5658
Bihar,Bihar,Araria,Araria,"Kharahiya Basti, Araria - BSPCB",site_5539
Bihar,Bihar,Arrah,Arrah,"New DM Office, Arrah - BSPCB",site_5538
Bihar,Bihar,Aurangabad,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",site_5788
Bihar,Bihar,Aurangabad,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",site_198
Bihar,Bihar,Aurangabad,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",site_5544
Bihar,Bihar,Aurangabad,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",site_5789
Bihar,Bihar,Begusarai,Begusarai,"Lohiyanagar, Begusarai - BSPCB",site_5540
Bihar,Bihar,Bettiah,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",site_5476
Bihar,Bihar,Bhagalpur,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",site_5541
Bihar,Bihar,Bhagalpur,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",site_5543
Bihar,Bihar,Bihar Sharif,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",site_5481
Bihar,Bihar,Buxar,Buxar,"Charitra Van, Buxar - BSPCB",site_5542
Bihar,Bihar,Chhapra,Chhapra,"Darshan Nagar, Chhapra - BSPCB",site_5545
Bihar,Bihar,Darbhanga,Darbhanga,"Town Hall - Lal Bagh, Darbhanga - BSPCB",site_5477
Bihar,Bihar,Gaya,Gaya,"Kareemganj, Gaya - BSPCB",site_5548
Bihar,Bihar,Gaya,Gaya,"SFTI Kusdihra, Gaya - BSPCB",site_5338
Bihar,Bihar,Gaya,Gaya,"Collectorate, Gaya - BSPCB",site_159
Bihar,Bihar,Hajipur,Hajipur,"Industrial Area, Hajipur - BSPCB",site_5337
Bihar,Bihar,Katihar,Katihar,"Mirchaibari, Katihar - BSPCB",site_5546
Bihar,Bihar,Kishanganj,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",site_5547
Bihar,Bihar,Manguraha,Manguraha,"Forest Rest House, Manguraha - BSPCB",site_5550
Bihar,Bihar,Motihari,Motihari,"Gandak Colony, Motihari - BSPCB",site_5478
Bihar,Bihar,Munger,Munger,"Town Hall, Munger - BSPCB",site_5490
Bihar,Bihar,Muzaffarpur,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",site_158
Bihar,Bihar,Muzaffarpur,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",site_5370
Bihar,Bihar,Muzaffarpur,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",site_5479
Bihar,Bihar,Patna,Patna,"Rajbansi Nagar, Patna - BSPCB",site_5262
Bihar,Bihar,Patna,Patna,"Govt. High School Shikarpur, Patna - BSPCB",site_5335
Bihar,Bihar,Patna,Patna,"Muradpur, Patna - BSPCB",site_5261
Bihar,Bihar,Patna,Patna,"IGSC Planetarium Complex, Patna - BSPCB",site_157
Bihar,Bihar,Patna,Patna,"DRM Office Danapur, Patna - BSPCB",site_5336
Bihar,Bihar,Patna,Patna,"Samanpura, Patna - BSPCB",site_5263
Bihar,Bihar,Purnia,Purnia,"Mariam Nagar, Purnia - BSPCB",site_5549
Bihar,Bihar,Rajgir,Rajgir,"Dangi Tola, Rajgir - BSPCB",site_5489
Bihar,Bihar,Saharsa,Saharsa,"Police Line, Saharsa - BSPCB",site_5551
Bihar,Bihar,Samastipur,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",site_5552
Bihar,Bihar,Sasaram,Sasaram,"Dada Peer, Sasaram - BSPCB",site_5485
Bihar,Bihar,Siwan,Siwan,"Chitragupta Nagar, Siwan - BSPCB",site_5553
Chandigarh,Chandigarh,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",site_5582
Chandigarh,Chandigarh,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",site_5127
Chandigarh,Chandigarh,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",site_5491
Chhattisgarh,Chhattisgarh,Bhilai,Bhilai,"Hathkhoj, Bhilai - CECB",site_5659
Chhattisgarh,Chhattisgarh,Bhilai,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",site_5536
Chhattisgarh,Chhattisgarh,Bhilai,Bhilai,"32Bungalows, Bhilai - CECB",site_5660
Chhattisgarh,Chhattisgarh,Bilaspur,Bilaspur,"Mangala, Bilaspur - NTPC",site_5503
Chhattisgarh,Chhattisgarh,Chhal,Chhal,"Nawapara SECL Colony, Chhal - CECB",site_5689
Chhattisgarh,Chhattisgarh,Korba,Korba,"Rampur, Korba - CECB",site_5656
