state_lbl,state_val,city_lbl,city_val,stn_lbl,stn_val,lat,long,geometry,index_right,Area
Andaman and Nicobar,Andaman and Nicobar,Sri Vijaya Puram,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",site_6010,11.6645348,92.7390448,POINT (92.7390448 11.6645348),1,7658.81187279
Andhra Pradesh,Andhra Pradesh,Amaravati,Amaravati,"Secretariat, Amaravati - APPCB",site_1406,16.51479785,80.51537750099347,POINT (80.51537750099347 16.51479785),252,3942949.59384
Andhra Pradesh,Andhra Pradesh,Anantapur,Anantapur,"Gulzarpet, Anantapur - APPCB",site_5632,14.676565,77.5965798,POINT (77.5965798 14.676565),252,3942949.59384
Andhra Pradesh,Andhra Pradesh,Chittoor,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",site_5665,13.20470485,79.09959356808966,POINT (79.09959356808966 13.20470485),252,3942949.59384
Andhra Pradesh,Andhra Pradesh,Kadapa,Kadapa,"Yerramukkapalli, Kadapa - APPCB",site_5693,14.4752936,78.8216861,POINT (78.8216861 14.4752936),252,3942949.59384
Andhra Pradesh,Andhra Pradesh,Rajamahendravaram,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",site_1399,17.0050454,81.7804732,POINT (81.7804732 17.0050454),252,3942949.59384
Andhra Pradesh,Andhra Pradesh,Tirumala,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",site_258,13.64712515,79.40200725000001,POINT (79.40200725000001 13.64712515),252,3942949.59384
Andhra Pradesh,Andhra Pradesh,Tirupati,Tirupati,"Vaikuntapuram, Tirupati - APPCB",site_5666,13.6316368,79.4231711,POINT (79.4231711 13.6316368),252,3942949.59384
Andhra Pradesh,Andhra Pradesh,Vijayawada,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",site_5849,16.5091443,80.61229878621097,POINT (80.61229878621097 16.5091443),252,3942949.59384
Andhra Pradesh,Andhra Pradesh,Vijayawada,Vijayawada,"Kanuru, Vijayawada - APPCB",site_5685,16.467863153631445,80.72770330614497,POINT (80.72770330614497 16.467863153631445),252,3942949.59384
Andhra Pradesh,Andhra Pradesh,Vijayawada,Vijayawada,"PWD Grounds, Vijayawada - APPCB",site_257,16.5115306,80.6160469,POINT (80.6160469 16.5115306),252,3942949.59384
Andhra Pradesh,Andhra Pradesh,Vijayawada,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",site_5981,16.553381,80.6566852,POINT (80.6566852 16.553381),252,3942949.59384
