state-label,state-value,city-label,city-value,station-label,station-value,lat,long
Andaman and Nicobar,Andaman and Nicobar,Sri Vijaya Puram,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",site_6010,11.6645348,92.7390448
Andhra Pradesh,Andhra Pradesh,Amaravati,Amaravati,"Secretariat, Amaravati - APPCB",site_1406,16.51479785,80.51537750099347
Andhra Pradesh,Andhra Pradesh,Anantapur,Anantapur,"Gulzarpet, Anantapur - APPCB",site_5632,14.676565,77.5965798
Andhra Pradesh,Andhra Pradesh,Chittoor,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",site_5665,13.204704849999999,79.09959356808966
Andhra Pradesh,Andhra Pradesh,Kadapa,Kadapa,"Yerramukkapalli, Kadapa - APPCB",site_5693,14.4752936,78.8216861
Andhra Pradesh,Andhra Pradesh,Rajamahendravaram,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",site_1399,17.0050454,81.7804732
Andhra Pradesh,Andhra Pradesh,Tirumala,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",site_258,13.64712515,79.40200725000001
Andhra Pradesh,Andhra Pradesh,Tirupati,Tirupati,"Vaikuntapuram, Tirupati - APPCB",site_5666,13.6316368,79.4231711
Andhra Pradesh,Andhra Pradesh,Vijayawada,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",site_5849,16.5091443,80.61229878621097
Andhra Pradesh,Andhra Pradesh,Vijayawada,Vijayawada,"Kanuru, Vijayawada - APPCB",site_5685,16.467863153631445,80.72770330614497
Andhra Pradesh,Andhra Pradesh,Vijayawada,Vijayawada,"PWD Grounds, Vijayawada - APPCB",site_257,16.5115306,80.6160469
Andhra Pradesh,Andhra Pradesh,Vijayawada,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",site_5981,16.553381,80.6566852
Andhra Pradesh,Andhra Pradesh,Vijayawada,Vijayawada,"HB Colony, Vijayawada - APPCB",site_5848,16.5345173,80.5961395
Andhra Pradesh,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",site_260,17.6935526,83.2921297
Arunachal Pradesh,Arunachal Pradesh,Naharlagun,Naharlagun,"Naharlagun, Naharlagun - APSPCB",site_5446,27.1308555,93.709712
Assam,Assam,Byrnihat,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",site_5669,26.0543348,91.8696498
Assam,Assam,Guwahati,Guwahati,"IITG, Guwahati - PCBA",site_5651,26.19247875,91.69463568731132
Assam,Assam,Guwahati,Guwahati,"LGBI Airport, Guwahati - PCBA",site_5683,26.1805978,91.753943
Assam,Assam,Guwahati,Guwahati,"Pan Bazaar, Guwahati - PCBA",site_5417,26.1914795,91.7519783
Assam,Assam,Guwahati,Guwahati,"Railway Colony, Guwahati - PCBA",site_5073,26.1808827,91.7824864
Assam,Assam,Nagaon,Nagaon,"Christianpatty, Nagaon - PCBA",site_5706,26.3510707,92.6878774
Assam,Assam,Nalbari,Nalbari,"Bata Chowk, Nalbari - PCBA",site_5668,26.35336315,91.39836617554388
Assam,Assam,Silchar,Silchar,"Tarapur, Silchar - PCBA",site_5684,24.830302,92.7875689
Assam,Assam,Sivasagar,Sivasagar,"Girls College, Sivasagar - PCBA",site_5658,26.9834936,94.6394226
Bihar,Bihar,Araria,Araria,"Kharahiya Basti, Araria - BSPCB",site_5539,26.26510125,87.36994367279917
Bihar,Bihar,Arrah,Arrah,"New DM Office, Arrah - BSPCB",site_5538,25.560317,84.6632139
Bihar,Bihar,Aurangabad,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",site_5788,24.80332005,84.41101977690866
Bihar,Bihar,Aurangabad,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",site_198,19.840779400000002,75.24716959404093
Bihar,Bihar,Aurangabad,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",site_5544,24.80332005,84.41101977690866
Bihar,Bihar,Aurangabad,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",site_5789,24.80332005,84.41101977690866
Bihar,Bihar,Begusarai,Begusarai,"Lohiyanagar, Begusarai - BSPCB",site_5540,25.5125411,86.08833919362361
Bihar,Bihar,Bettiah,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",site_5476,26.8023,84.5074
Bihar,Bihar,Bhagalpur,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",site_5541,25.286135350000002,87.13042293057262
